period,year,quarter,domestic_demand_real_cop_billion,total_consumption_real_cop_billion,private_consumption_real_cop_billion,government_consumption_real_cop_billion,investment_real_cop_billion,fixed_investment_real_cop_billion,exports_real_cop_billion,imports_real_cop_billion,gdp_real_cop_billion,domestic_demand_nominal_cop_billion,total_consumption_nominal_cop_billion,private_consumption_nominal_cop_billion,government_consumption_nominal_cop_billion,investment_nominal_cop_billion,fixed_investment_nominal_cop_billion,exports_nominal_cop_billion,imports_nominal_cop_billion,gdp_nominal_cop_billion,trm_avg_cop_per_usd,trm_end_cop_per_usd,net_exports_real_cop_billion,net_exports_nominal_cop_billion,gdp_usd_m
2015Q4,2015,4,228151.02872649344,186042.54936146704,147189.53899042387,38853.20698511259,42114.150120738384,50168.16276765745,32840.705648147836,46879.89826249552,212831.55285361854,228201.33728292162,189241.0797442781,151226.74590015277,38014.333844125336,38960.25753864351,50848.73842647115,33910.95226015852,49375.22527806469,212737.06426501545,3063.230338983051,3149.47,-14039.192614347681,-15464.27301790617,69448.60187550935
2016Q1,2016,1,208074.33892428363,158563.97163683255,134710.34129725027,23853.73756902405,49513.56421499652,38485.3678752565,30067.974870508875,42232.18350628617,195907.74050669238,223325.13712399843,166723.44201252467,141630.57072299614,25092.871289528524,56601.695111473746,42611.89449045305,29695.11117392222,46207.546048977565,206812.70224894307,3262.3866666666668,3022.35,-12164.208635777297,-16512.434875055344,63393.068749957
2016Q2,2016,2,213949.7411207951,164095.95938235405,136275.33029513847,27820.673109328105,49853.54234052762,47214.04412634991,30729.535478664446,43640.08783220873,201038.9937938138,223308.73070920602,174711.84174102452,145097.37417399805,29614.46756702648,48596.8889681815,48504.0078362789,30229.993408777023,45729.87443705989,207808.84968092316,2992.998548387097,2916.15,-12910.552353544284,-15499.881028282864,69431.65735677008
2016Q3,2016,3,220373.30715009975,166939.35987818136,138980.60724877872,27958.724279905706,53431.83616816813,45284.07390391402,30634.087832076744,44202.93333239442,206805.58283950313,235615.63925186684,177936.06822125413,149179.57416908612,28756.494052168004,57679.571030612715,47998.3407721119,30690.1272584545,45676.94141051032,220628.82509981105,2948.8298387096775,2879.95,-13568.845500317679,-14986.81415205582,74819.11034797173
2016Q4,2016,4,229697.6128048216,191501.709102632,149772.72115883257,41728.865041742145,38195.05727630771,51675.51409447957,34241.40181874994,46203.79532911068,217736.68285999072,239996.49291492876,202758.6480251967,160617.48093391978,42141.1670912769,37237.84488973207,52037.75690115615,36508.768158846266,47973.638103452235,228531.6229703228,3013.7107017543863,3000.71,-11962.393510360744,-11464.869944605969,75830.64387609817
2017Q1,2017,1,210291.93031860312,160470.84138388842,135913.58178816328,24437.11798370426,49865.41658629696,40404.47852152641,31008.90481179424,43270.78053601585,198002.90169194018,233150.4031993044,175217.58656763044,148299.36169103114,26918.224876599303,57932.81663167395,45423.651124360826,32388.284948294706,44411.310042877216,221127.3781047219,2921.828813559322,2880.24,-12261.875724221612,-12023.02509458251,75681.15458323114
2017Q2,2017,2,216680.1757652847,168618.97204707243,139850.7661967633,28729.99975667088,48068.73681175025,46582.57200822318,31689.325048677292,44758.81872343974,203591.8423623232,233843.30931476422,186324.2000880713,154196.7134582032,32127.486629868108,47519.10922669294,48823.806243551786,32968.102135433095,46042.90275832527,220768.50869187203,2920.2542372881358,3038.26,-13069.493674762449,-13074.800622892173,75599.07143457702
2017Q3,2017,3,223348.93759398846,171932.0942343256,142791.4442614428,29095.947366507073,51447.385225826634,47629.635982540945,31797.10331320911,44860.12642592446,210300.6828523357,248273.67137520283,189506.38435503858,158034.65909216652,31471.725262872074,58767.28702016425,52447.38834435522,34589.72123429323,47048.18138009751,235815.21122939856,2973.3331666666663,2936.67,-13063.023112715353,-12458.460145804274,79310.05306538366
2017Q4,2017,4,231576.95632212376,195951.09233471364,152679.20775363056,43519.9348931178,35446.46137612616,51429.31348770947,34406.66682631936,45185.27431461994,220760.57309340095,251156.61611072806,216559.82898925952,170105.26575859915,46454.56323066037,34596.78712146853,53257.15428773216,39461.89168197897,47858.60581870001,242759.90197400702,2987.632105263158,2984.0,-10778.607488300586,-8396.714136721042,81254.95155389092
2018Q1,2018,1,213668.71855813652,166269.06714194032,140483.36048469017,25738.385342458958,47438.283024786935,39327.69023625468,30290.30721220607,42666.01183610271,201268.44821060167,246072.5831577485,187911.4486255523,158585.32284095787,29326.125784594413,58161.13453219621,46188.206091498076,35019.02761039491,45112.435367819446,235979.17540032396,2856.991551724138,2780.47,-12375.704623896643,-10093.407757424538,82597.08547542438
